Day,Min,Max,Top_Mode,Bottom_Mode,Mean,Median
2019-02-26,53,119,60,59,69,86
2019-02-27,55,130,60,59,72,76
2019-02-28,53,116,60,54,69,66
2019-03-01,58,110,60,58,68,69
2019-03-02,52,125,64,62,73,105
2019-03-03,56,109,68,64,74,76
2019-03-04,60,122,60,,70,60
2019-03-07,57,115,60,59,72,97
2019-03-08,56,122,60,56,71,70
2019-03-09,56,122,63,61,74,90
2019-03-10,57,99,60,57,68,94
2019-03-11,51,148,60,59,73,91
2019-03-12,54,102,60,59,66,65
2019-03-13,57,127,60,57,72,78
2019-03-14,48,128,60,59,69,60
2019-03-15,56,119,60,56,70,61
2019-03-16,53,167,60,59,70,63
2019-03-17,54,111,60,59,67,111
2019-03-18,50,114,60,59,72,73
2019-03-19,54,120,60,59,68,68
2019-03-20,53,113,60,59,68,69
2019-03-21,49,129,60,59,68,72
2019-03-22,53,99,60,59,64,61
2019-03-23,52,104,60,57,66,63
2019-03-24,59,144,60,59,67,60
2019-03-25,42,112,60,59,69,87
2019-03-26,60,110,60,,68,69
2019-03-27,60,120,60,,71,71
2019-03-28,49,122,60,59,69,68
2019-03-29,49,110,60,54,68,64
2019-03-30,41,140,60,59,68,92
2019-03-31,49,102,60,58,69,60
2019-04-01,49,112,60,57,69,70
2019-04-02,47,104,60,58,69,104
2019-04-03,48,120,60,59,69,62
2019-04-04,53,114,60,58,72,69
2019-04-05,47,109,60,55,69,84
2019-04-06,60,105,60,,70,83
2019-04-07,59,131,60,59,70,74
2019-04-08,55,98,60,59,67,63
2019-04-09,46,111,60,56,69,76
2019-04-10,57,128,60,57,73,73
2019-04-11,59,109,60,59,70,70
2019-04-12,46,119,60,46,70,67
2019-04-13,57,104,66,60,71,77
2019-04-14,52,99,60,59,65,68
2019-04-15,51,108,60,59,67,60
2019-04-16,58,131,60,58,75,66
2019-04-17,52,117,60,59,68,62
2019-04-18,60,88,60,,64,60
2019-04-19,57,103,60,57,68,60
2019-04-20,45,104,60,59,65,60
2019-04-21,53,63,61,59,60,59
2019-04-22,41,104,60,59,75,90
2019-04-23,55,108,60,59,68,60
2019-04-24,41,99,60,59,65,69
2019-04-25,48,103,60,59,67,61
2019-04-26,59,114,60,59,71,64
2019-04-27,47,95,61,60,72,61
2019-04-28,42,203,77,62,79,83
2019-04-29,49,127,60,59,69,61
2019-04-30,52,115,60,59,70,62
