date,value
2018-08-08T14:05:26,61
2018-08-08T14:08:05,64
2018-08-08T14:16:18,63
2018-08-08T14:21:47,58
2018-08-08T14:23:21,58
2018-08-08T14:28:32,57
2018-08-08T14:35:16,59
2018-08-08T14:39:53,62
2018-08-08T14:42:06,60
2018-08-08T14:51:46,59
2018-08-08T14:56:21,62
2018-08-08T15:01:08,58
2018-08-08T15:06:09,58
2018-08-08T15:07:43,61
2018-08-08T15:24:03,58
2018-08-08T15:30:03,71
2018-08-08T15:33:13,59
2018-08-08T15:41:41,68
2018-08-08T15:43:45,70
2018-08-08T15:50:59,71
2018-08-08T16:05:21,65
2018-08-08T16:11:30,73
2018-08-08T16:12:46,73
2018-08-08T16:20:12,74
2018-08-08T16:30:19,70
2018-08-08T16:36:11,63
2018-08-08T16:37:41,60
2018-08-08T16:42:11,69
2018-08-08T16:49:19,65
2018-08-08T16:55:54,68
2018-08-08T16:57:48,68
2018-08-08T17:03:05,68
2018-08-08T17:07:56,65
2018-08-08T17:13:52,60
2018-08-08T17:18:02,63
2018-08-08T17:25:43,71
2018-08-08T17:28:45,69
2018-08-08T17:34:58,76
2018-08-08T17:40:24,74
2018-08-08T17:43:08,69
2018-08-08T17:50:36,68
2018-08-08T17:56:51,66
2018-08-08T17:59:29,67
2018-08-08T18:03:24,68
2018-08-08T18:11:26,72
2018-08-08T18:14:42,71
2018-08-08T18:19:43,62
2018-08-08T18:25:09,67
2018-08-08T18:30:38,65
2018-08-08T18:35:58,65
2018-08-08T18:40:55,66
2018-08-08T18:42:14,63
2018-08-08T18:50:03,63
2018-08-08T18:54:45,78
2018-08-08T23:14:25,63
2018-08-08T23:14:30,60
2018-08-08T23:14:35,59
2018-08-08T23:14:36,59
2018-08-08T23:14:44,64
2018-08-08T23:14:47,66
2018-08-08T23:14:51,66
2018-08-08T23:14:56,67
2018-08-08T23:15:05,71
2018-08-08T23:15:06,70
2018-08-08T23:15:21,70
2018-08-08T23:15:26,67
2018-08-08T23:15:32,68
2018-08-08T23:15:35,67
2018-08-08T23:15:38,67
2018-08-08T23:15:43,67
2018-08-08T23:15:50,66
2018-08-08T23:16:32,59
2018-08-08T23:21:03,54
2018-08-08T23:23:28,51
2018-08-08T23:27:19,51
2018-08-08T23:32:58,53
2018-08-08T23:37:20,52
2018-08-08T23:42:12,52
2018-08-08T23:47:03,52
2018-08-08T23:52:13,53
2018-08-09T00:01:12,53
2018-08-09T00:04:00,51
2018-08-09T00:07:32,50
2018-08-09T00:14:16,51
2018-08-09T00:17:05,50
2018-08-09T00:24:06,48
2018-08-09T00:27:07,48
2018-08-09T00:32:07,47
2018-08-09T00:37:38,47
2018-08-09T00:42:08,46
2018-08-09T00:47:05,46
2018-08-09T00:52:10,47
2018-08-09T00:57:16,47
2018-08-09T01:02:52,46
2018-08-09T01:07:12,46
2018-08-09T01:16:01,52
2018-08-09T01:18:21,48
2018-08-09T01:22:04,46
2018-08-09T01:27:05,48
2018-08-09T01:33:06,48
2018-08-09T01:37:29,47
2018-08-09T01:42:53,47
2018-08-09T01:49:35,48
2018-08-09T01:53:14,48
2018-08-09T01:58:24,50
2018-08-09T02:02:04,52
2018-08-09T02:08:20,50
2018-08-09T02:13:42,49
2018-08-09T02:17:32,48
2018-08-09T02:22:02,49
2018-08-09T02:27:09,49
2018-08-09T02:32:33,51
2018-08-09T02:38:10,50
2018-08-09T02:42:10,50
2018-08-09T02:48:06,51
2018-08-09T02:53:27,49
2018-08-09T02:57:02,49
2018-08-09T03:02:17,49
2018-08-09T03:10:04,51
2018-08-09T03:12:20,50
2018-08-09T03:17:05,49
2018-08-09T03:25:42,48
2018-08-09T03:28:32,49
2018-08-09T03:32:22,50
2018-08-09T03:37:03,51
2018-08-09T03:43:29,51
2018-08-09T03:47:14,50
2018-08-09T03:52:04,49
2018-08-09T03:57:06,48
2018-08-09T04:02:43,48
2018-08-09T04:07:03,49
2018-08-09T04:12:18,46
2018-08-09T04:17:25,46
2018-08-09T04:22:04,48
2018-08-09T04:27:20,47
2018-08-09T04:32:10,47
2018-08-09T04:37:02,47
2018-08-09T04:43:23,52
2018-08-09T04:47:33,47
2018-08-09T04:52:08,47
2018-08-09T04:58:10,46
2018-08-09T05:02:05,46
2018-08-09T05:07:06,45
2018-08-09T05:12:06,43
