date,dateString,total_victims,event,location,age_of_shooter,race,gender,city,state,injured,fatalities,weapon_type
2018-01-28T00:00:00Z,"January 28, 2018",5,Pennsylvania carwash shooting,"Pennsylvania, Pennsylvania",28,White,M,Pennsylvania,Pennsylvania,1,4,semiautomatic rifle and semiautomatic handgun
2017-11-14T00:00:00Z,"November 14, 2017",15,Rancho Tehama shooting spree,"Rancho Tehama, California",44,White,M,Rancho Tehama,California,10,5,semiautomatic rifles
2017-11-05T00:00:00Z,"November 05, 2017",46,Texas First Baptist massacre,"Sutherland Springs, Texas",26,White,M,Sutherland Springs,Texas,20,26,semiautomatic rifle
2017-11-01T00:00:00Z,"November 01, 2017",3,Walmart shooting in suburban Denver,"Thornton, Colorado",47,White,M,Thornton,Colorado,0,3,semiautomatic handgun
2017-10-18T00:00:00Z,"October 18, 2017",6,Edgewood businees park shooting,"Edgewood, Maryland",37,Black,M,Edgewood,Maryland,3,3,handgun
2017-10-01T00:00:00Z,"October 01, 2017",604,Las Vegas Strip massacre,"Las Vegas, Nevada",64,White,M,Las Vegas,Nevada,546,58,"23 firearms, mostly modified rifles"
2017-06-14T00:00:00Z,"June 14, 2017",5,San Francisco UPS shooting,"San Francisco, California",38,Asian,M,San Francisco,California,2,3,two handguns
2017-06-07T00:00:00Z,"June 07, 2017",3,Pennsylvania supermarket shooting,"Tunkhannock, Pennsylvania",24,White,M,Tunkhannock,Pennsylvania,0,3,shotguns
2017-06-05T00:00:00Z,"June 05, 2017",5,Florida awning manufacturer shooting,"Orlando, Florida",45,Unknown race,M,Orlando,Florida,0,5,semiautomatic handgun
2017-05-12T00:00:00Z,"May 12, 2017",3,Rural Ohio nursing home shooting,"Kirkersville, Ohio",43,White,M,Kirkersville,Ohio,0,3,"handgun, shotgun"
2017-04-18T00:00:00Z,"April 18, 2017",3,Fresno downtown shooting,"Fresno, California",39,Black,M,Fresno,California,0,3,handgun
2017-01-06T00:00:00Z,"January 06, 2017",11,Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",26,Latino,M,Fort Lauderdale,Florida,6,5,semiautomatic handgun
2016-09-23T00:00:00Z,"September 23, 2016",5,Cascade Mall shooting,"Burlington, Washington",20,Unknown race,M,Burlington,Washington,0,5,rifle
